,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.7750184226424197,-1.7902229943776358,-1.7921982027111278,-1.7944592398795143,-1.790256055027842,-2.799920636001979
2,-1.4055416824778422,-1.3903330698231793,-1.4230542880871804,-1.474394359548522,-1.4144239693620229,-2.841899763076473
3,-1.8809325558822358,-1.8710949782902744,-1.8846147266911546,-1.8752706774580037,-1.8806166226416081,-2.850672322667597
4,-1.8111535382955013,-1.7936832221715946,-1.8067446676229766,-1.791136395315079,-2.8162914205084046,-1.958093536400535
5,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0151321697230453,-2.011324120365609,-2.0157875111460752,-2.0074166091742525,-4.393427091368378,-3.6331179736368657
7,-1.291474196272578,-1.1989926883338182,-1.252330713099274,-1.1989926883338182,-1.96,-1.9060000000000001
8,-1.6591447596335673,-1.6287039822542664,-1.6325630597755754,-1.6350478795407561,-1.9322805667840002,-2.8325556107611467
9,-2.0566351662244755,-2.0471883183046895,-2.0471040450226843,-2.0498763868165426,-2.879348365302179,-2.8816
10,0.0,0.0,0.0,0.0,0.0,0.0
11,-1.909168373623726,-1.8950494218309901,-1.894838412032461,-1.9002609860354545,-5.574789459308888,-4.4067411127616865
12,-1.7818382662069054,-1.7612272362703476,-1.7600500532165333,-1.7650002161266003,-2.8596078914496665,-4.279553402116179
13,-1.862035614153179,-1.849749967079655,-1.8466857769573306,-1.8485674670034218,-3.660797577422727,-4.992335739443247
14,-2.1612612555655173,-2.160839096234259,-2.1568781932840286,-2.147592352494943,-3.6461680440429634,-2.7990437774919483
15,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.1,-0.1,-0.16604375200000002,0.7629306414864213,-1.0,18.03045819563278
17,-1.6988537256268181,-1.6981985203053351,-1.713128848857365,-1.7028329111685148,-3.6430386518352575,-1.7064406170046322
18,-1.1391857629007185,-1.144257270314988,-1.170891821775708,-1.1447840503477273,-1.9,-1.1607214729453854
19,-1.7609568013567953,-1.7646735843934152,-1.744849699802097,-1.7578154796327852,-2.8368487461653924,-1.7642197059678872
20,0.0,0.0,0.0,0.0,0.0,0.0
21,-1.8202241253621316,-1.7929050459761153,-1.7930910653813867,-1.8144259642460565,-2.8274865298172767,-3.5841361698528083
22,-1.5194511899242185,-1.478974377738568,-1.4816263923418445,-1.4771663435374731,-3.5905088992668244,-2.752917568
23,-1.9374206696659586,-1.9203255746330181,-1.9239518623086707,-1.9244242312066073,-3.5635467826957656,-5.034188911570414
24,-1.8031048341400353,-1.8229519899964544,-1.8229519899964544,-1.8226371678996844,-4.3855982177917365,-2.8194847432452024
25,0.0,0.0,0.0,0.0,0.0,0.0
26,-2.0115798162966376,-2.010285761936043,-2.0087220721073793,-2.0230459394245415,-2.8422044812315583,-2.873163889957013
27,-1.295183996229743,-1.297874818587777,-1.2510329808004657,-1.251019117866859,-2.7326896000000005,-1.96
28,-1.6334390512439656,-1.6350478795407561,-1.6349568738080518,-1.643277575297056,-3.661034484431158,-2.8475958521771876
29,-2.0556742976041718,-2.045344665210339,-2.049082004873162,-2.0573790107684156,-2.852921407092029,-5.07474444948929
30,0.0,0.0,0.0,0.0,0.0,0.0
31,-1.8941825828004029,-1.8742579928696579,-1.874502476719551,-1.8990171652352301,-1.96,-4.38120417253941
32,-1.7609714244405477,-1.7347457207533707,-1.7347457207533707,-1.7639856194875532,-3.589713686612445,-1.96
33,-1.8636651524491705,-1.8644901828245402,-1.8492107502437078,-1.8427810821108355,-4.398296653523307,-1.9319939123199998
34,-2.1544619249070003,-2.144304379414451,-2.1475444196491495,-2.1477289379906135,-4.3251389232970485,-2.8816
35,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.196,-0.196,-0.2806,1.2792301576436014,-1.0,-1.0
37,-1.6758210348731997,-1.6678288156262762,-1.6682502927121732,-1.6513438123498476,-3.6565120792279533,-2.8475881962596907
